REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,TIME_PERIOD,OBS_VALUE,UNIT_TYPE_ID,UNIT_TYPE_NAME
BLZ,Belize,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.141451786043156,RATIO,Ratio
BLZ,Belize,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,3516311.712,CUR,Currency
BEN,Benin,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.36877069864434,RATIO,Ratio
BEN,Benin,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,305037897.4,CUR,Currency
BTN,Bhutan,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,10.6267430314478,RATIO,Ratio
BTN,Bhutan,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,237238215.1,CUR,Currency
BOL,Bolivia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,8.57478468039887,RATIO,Ratio
BOL,Bolivia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
BIH,Bosnia and Herzegovina,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,9.42396988721253,RATIO,Ratio
BIH,Bosnia and Herzegovina,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
BWA,Botswana,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,4.81459814864141,RATIO,Ratio
BWA,Botswana,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
BRA,Brazil,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,3.86287364381363,RATIO,Ratio
BRA,Brazil,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
BRN,Brunei Darussalam,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,11.0839175909477,RATIO,Ratio
BRN,Brunei Darussalam,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
BGR,Bulgaria,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,10.3484062441853,RATIO,Ratio
BGR,Bulgaria,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
BFA,Burkina Faso,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.68837408966434,RATIO,Ratio
BFA,Burkina Faso,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,92101287.64,CUR,Currency
BDI,Burundi,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,6.36763576251773,RATIO,Ratio
BDI,Burundi,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,223507806.3,CUR,Currency
CPV,Cabo Verde,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.06086197595493,RATIO,Ratio
CPV,Cabo Verde,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,19153260.82,CUR,Currency
KHM,Cambodia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.5720400189426,RATIO,Ratio
KHM,Cambodia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,321402292.8,CUR,Currency
CMR,Cameroon,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.72145914324856,RATIO,Ratio
CMR,Cameroon,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
CAN,Canada,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.79665574152629,RATIO,Ratio
CAN,Canada,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
CAF,Central African Republic,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.337291543064155,RATIO,Ratio
CAF,Central African Republic,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,6467909.18,CUR,Currency
TCD,Chad,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.05860415887174,RATIO,Ratio
TCD,Chad,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,254908663.2,CUR,Currency
CHL,Chile,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,5.26556106733615,RATIO,Ratio
CHL,Chile,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
CHN,China,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,9.59672637770858,RATIO,Ratio
CHN,China,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
COL,Colombia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,6.32448718640418,RATIO,Ratio
COL,Colombia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
COM,Comoros,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.0311787890567884,RATIO,Ratio
COM,Comoros,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,340586.05,CUR,Currency
COD,"Congo, Dem. Rep.",IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.0,RATIO,Ratio
COD,"Congo, Dem. Rep.",IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,0.0,CUR,Currency
COG,"Congo, Rep.",IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,4.29392108663102,RATIO,Ratio
COG,"Congo, Rep.",IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
CRI,Costa Rica,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.82814423514517,RATIO,Ratio
CRI,Costa Rica,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
CIV,Cote d'Ivoire,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.42544096051144,RATIO,Ratio
CIV,Cote d'Ivoire,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
HRV,Croatia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.75401965193604,RATIO,Ratio
HRV,Croatia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
CYP,Cyprus,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,3.22083664336681,RATIO,Ratio
CYP,Cyprus,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
CZE,Czechia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,4.36264024912737,RATIO,Ratio
CZE,Czechia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
DNK,Denmark,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.523676617620877,RATIO,Ratio
DNK,Denmark,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
DJI,Djibouti,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.27601149344145,RATIO,Ratio
DJI,Djibouti,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,62389350.4,CUR,Currency
DOM,Dominican Republic,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,5.26195728961943,RATIO,Ratio
DOM,Dominican Republic,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
ECU,Ecuador,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,8.80646847779228,RATIO,Ratio
ECU,Ecuador,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
EGY,"Egypt, Arab Rep.",IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,13.8352183926652,RATIO,Ratio
EGY,"Egypt, Arab Rep.",IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
SLV,El Salvador,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,4.32356169787627,RATIO,Ratio
SLV,El Salvador,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
GNQ,Equatorial Guinea,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,3.81027030908943,RATIO,Ratio
GNQ,Equatorial Guinea,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
EST,Estonia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,5.27003923848647,RATIO,Ratio
EST,Estonia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
ETH,Ethiopia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.17573239145395,RATIO,Ratio
